Year,Agency ID,County,Total Children Served, Expenditure ,
2019,DOE,Chester,1,30.00,
2019,DOE,Chester,2758,90000.00,
2019,DOE,Chester,172,16499.00,
2019,DOE,Chester,2822,667334.00,
2019,DOE,Chester,662,125000.00,
2019,DOE,Chester,19,17592.00,
2019,DOE,Chester,2822,91441.00,
2019,DOE,Chester,2822,46564.00,
2019,DOE,Chester,2720,54458.00,
2019,DOE,Chester,341,28987.00,
2019,DOE,Chester,315,28271.00,
2019,DOE,Chester,301,464054.00,
2019,DOE,Chester,47,13467.00,
2019,DOE,Chester,1722,672420.00,
2019,DOE,Chester,1013,254459.00,
2019,DOE,Chester,2756,4272.00,
2019,DOE,Chester,2743,124010.00,
2019,DOE,Chester,18,101919.00,
2019,DOE,Chester,55,211126.00,
2019,DOE,Claiborne,506,393345.00,
2019,DOE,Claiborne,1275,86387.00,
2019,DOE,Claiborne,4140,95000.00,
2019,DOE,Claiborne,4566,1443129.00,
2019,DOE,Claiborne,4566,184336.00,
2019,DOE,Claiborne,4566,100681.00,
2019,DOE,Claiborne,3927,78628.00,
2019,DOE,Claiborne,214,29612.00,
2019,DOE,Claiborne,247,9727.00,
2019,DOE,Claiborne,568,1347137.00,
2019,DOE,Claiborne,62,39619.00,
2019,DOE,Claiborne,443,22898.00,
2019,DOE,Claiborne,3408,1593754.00,
2019,DOE,Claiborne,2191,649251.00,
2019,DOE,Claiborne,3983,6174.00,
2019,DOE,Claiborne,4001,189023.00,
2019,DOE,Claiborne,48,271783.00,
2019,DOE,Claiborne,180,151072.00,
2019,DOE,Claiborne,116,603554.00,
2019,DOE,Clay,579,105801.00,
2019,DOE,Clay,317,23310.00,
2019,DOE,Clay,317,2903.00,
2019,DOE,Clay,1055,90000.00,
2019,DOE,Clay,1150,417097.00,
2019,DOE,Clay,579,105801.00,
2019,DOE,Clay,1150,52007.00,
2019,DOE,Clay,1150,29108.00,
2019,DOE,Clay,1006,20138.00,
2019,DOE,Clay,1100,29612.00,
2019,DOE,Clay,361,46254.00,
2019,DOE,Clay,155,240662.00,
2019,DOE,Clay,16,10638.00,
2019,DOE,Clay,757,331288.00,
2019,DOE,Clay,523,148728.00,
2019,DOE,Clay,1076,1668.00,
2019,DOE,Clay,1083,47910.00,
2019,DOE,Clay,11,62284.00,
2019,DOE,Clay,45,310955.00,
2019,DOE,Cocke,252,352801.00,
2019,DOE,Cocke,1540,119455.00,
2019,DOE,Cocke,20,600.00,
2019,DOE,Cocke,5087,165000.00,
2019,DOE,Cocke,319,30600.00,
2019,DOE,Cocke,5281,2436164.00,
2019,DOE,Cocke,5281,259510.00,
2019,DOE,Cocke,27,3455.00,
2019,DOE,Cocke,5281,169964.00,
2019,DOE,Cocke,4796,96010.00,
2019,DOE,Cocke,304,10000.00,
2019,DOE,Cocke,802,287262.00,
2019,DOE,Cocke,98,59445.00,
2019,DOE,Cocke,4074,2099060.00,
2019,DOE,Cocke,2276,763531.00,
2019,DOE,Cocke,5014,7772.00,
2019,DOE,Cocke,5049,204010.00,
2019,DOE,Cocke,35,198175.00,
2019,DOE,Cocke,262,227776.00,
2019,DOE,Cocke,95,506120.00,
2019,DOE,Coffee,306,94724.00,
2019,DOE,Coffee,2712,145935.00,
2019,DOE,Coffee,1677,8487.00,
2019,DOE,Coffee,120,3600.00,
2019,DOE,Coffee,9339,261000.00,
2019,DOE,Coffee,233,22350.00,
2019,DOE,Coffee,9867,2065895.00,
2019,DOE,Coffee,9867,303338.00,
2019,DOE,Coffee,216,27636.00,
2019,DOE,Coffee,9867,144148.00,
2019,DOE,Coffee,4605,92209.00,
2019,DOE,Coffee,1788,119421.00,
2019,DOE,Coffee,371,122803.00,
2019,DOE,Coffee,1208,2598720.00,
2019,DOE,Coffee,170,145151.00,
2019,DOE,Coffee,505,25250.00,
2019,DOE,Coffee,6391,2709683.00,
2019,DOE,Coffee,3337,1042901.00,
2019,DOE,Coffee,9032,14000.00,
2019,DOE,Coffee,9061,322662.00,
2019,DOE,Coffee,56,317080.00,
2019,DOE,Coffee,444,433495.00,
2019,DOE,Coffee,272,1298956.00,
2019,DOE,Crockett,145,88825.00,
2019,DOE,Crockett,869,41159.00,
2019,DOE,Crockett,30,900.00,
2019,DOE,Crockett,3075,245000.00,
2019,DOE,Crockett,227,21775.00,
2019,DOE,Crockett,2554,615531.00,
2019,DOE,Crockett,2554,86004.00,
2019,DOE,Crockett,144,18424.00,
2019,DOE,Crockett,2554,48351.00,
2019,DOE,Crockett,1930,38640.00,
2019,DOE,Crockett,1619,20133.00,
2019,DOE,Crockett,316,105634.00,
2019,DOE,Crockett,326,725977.00,
2019,DOE,Crockett,41,55010.00,
2019,DOE,Crockett,2099,919502.00,
2019,DOE,Crockett,1811,485285.00,
2019,DOE,Crockett,2879,4463.00,
2019,DOE,Crockett,2891,135922.00,
2019,DOE,Crockett,19,107581.00,
2019,DOE,Crockett,65,66028.00,
2019,DOE,Crockett,142,750463.00,
2019,DOE,Cumberland,89,275000.00,
2019,DOE,Cumberland,2091,134459.00,
2019,DOE,Cumberland,2091,6000.00,
2019,DOE,Cumberland,18,540.00,
2019,DOE,Cumberland,7386,100000.00,
2019,DOE,Cumberland,7675,1999866.00,
2019,DOE,Cumberland,719,275000.00,
2019,DOE,Cumberland,7675,284116.00,
2019,DOE,Cumberland,113,14458.00,
2019,DOE,Cumberland,7675,140292.00,
2019,DOE,Cumberland,186,30000.00,
2019,DOE,Cumberland,6857,137289.00,
2019,DOE,Cumberland,978,29612.00,
2019,DOE,Cumberland,174,98116.00,
2019,DOE,Cumberland,974,1612086.00,
2019,DOE,Cumberland,137,44942.00,
2019,DOE,Cumberland,5563,2639291.00,
2019,DOE,Cumberland,3549,1105887.00,
2019,DOE,Cumberland,7073,10963.00,
2019,DOE,Cumberland,7143,237620.00,
2019,DOE,Cumberland,102,577539.00,
2019,DOE,Cumberland,413,342074.00,
2019,DOE,Cumberland,227,1059450.00,
2019,DOE,Davidson,17814,8603614.00,
2019,DOE,Davidson,22311,1591835.00,
2019,DOE,Davidson,22223,11935.00,
2019,DOE,Davidson,2322,69648.00,
2019,DOE,Davidson,22223,50000.00,
2019,DOE,Davidson,427,8265014.00,
2019,DOE,Davidson,10686,1936251.00,
2019,DOE,Davidson,81705,230000.00,
2019,DOE,Davidson,98127,31035076.00,
2019,DOE,Davidson,27703,7517719.00,
2019,DOE,Davidson,169,156480.00,
2019,DOE,Davidson,195745,3472298.00,
2019,DOE,Davidson,13905,1779099.00,
2019,DOE,Davidson,4108,106311.00,
2019,DOE,Davidson,98127,2182124.00,
2019,DOE,Davidson,3395,250000.00,
2019,DOE,Davidson,2676,91118.00,
2019,DOE,Davidson,10450,24576659.00,
2019,DOE,Davidson,1309,348812.00,
2019,DOE,Davidson,13137,665455.00,
2019,DOE,Davidson,48933,26563878.00,
2019,DOE,Davidson,32718,11546024.00,
2019,DOE,Davidson,81915,2245200.00,
2019,DOE,Davidson,591,3346328.00,
2019,DOE,Davidson,2194,2544723.00,
2019,DOE,Davidson,1220,3872278.00,
2019,DOE,Decatur,164,98097.00,
2019,DOE,Decatur,512,18415.00,
2019,DOE,Decatur,512,490.00,
2019,DOE,Decatur,1594,93000.00,
2019,DOE,Decatur,1849,478701.00,
2019,DOE,Decatur,1849,67051.00,
2019,DOE,Decatur,8,1024.00,
2019,DOE,Decatur,1849,33405.00,
2019,DOE,Decatur,1483,29698.00,
2019,DOE,Decatur,285,30409.00,
2019,DOE,Decatur,323,10000.00,
2019,DOE,Decatur,267,468441.00,
2019,DOE,Decatur,110,55622.00,
2019,DOE,Decatur,858,336961.00,
2019,DOE,Decatur,585,170009.00,
2019,DOE,Decatur,1508,2337.00,
2019,DOE,Decatur,1515,66490.00,
2019,DOE,Decatur,6,33973.00,
2019,DOE,Decatur,110,71716.00,
2019,DOE,Decatur,59,295632.00,
2019,DOE,DeKalb,215,218536.00,
2019,DOE,DeKalb,833,57206.00,
2019,DOE,DeKalb,833,18500.00,
2019,DOE,DeKalb,6,180.00,
2019,DOE,DeKalb,2958,100000.00,
2019,DOE,DeKalb,3051,961747.00,
2019,DOE,DeKalb,3051,121684.00,
2019,DOE,DeKalb,162,20727.00,
2019,DOE,DeKalb,3051,68469.00,
2019,DOE,DeKalb,2761,55281.00,
2019,DOE,DeKalb,30,20590.00,
2019,DOE,DeKalb,442,703792.00,
2019,DOE,DeKalb,75,25832.00,
2019,DOE,DeKalb,2303,1084615.00,
2019,DOE,DeKalb,1294,391747.00,
2019,DOE,DeKalb,2806,4349.00,
2019,DOE,DeKalb,2814,117000.00,
2019,DOE,DeKalb,32,181189.00,
2019,DOE,DeKalb,192,207830.00,
2019,DOE,DeKalb,85,487688.00,
2019,DOE,Dickson,713,176090.00,
2019,DOE,Dickson,2477,120824.00,
2019,DOE,Dickson,2477,9887.00,
2019,DOE,Dickson,33,990.00,
2019,DOE,Dickson,2477,20000.00,
2019,DOE,Dickson,8299,100000.00,
2019,DOE,Dickson,8934,1872686.00,
2019,DOE,Dickson,713,176090.00,
2019,DOE,Dickson,8934,245917.00,
2019,DOE,Dickson,133,17017.00,
2019,DOE,Dickson,8934,130645.00,
2019,DOE,Dickson,7852,157215.00,
2019,DOE,Dickson,2211,124836.00,
2019,DOE,Dickson,1174,1997023.00,
2019,DOE,Dickson,165,58293.00,
2019,DOE,Dickson,4390,1862668.00,
2019,DOE,Dickson,2556,701652.00,
2019,DOE,Dickson,8062,12496.00,
2019,DOE,Dickson,8112,299000.00,
2019,DOE,Dickson,55,311418.00,
2019,DOE,Dickson,97,463114.00,
2019,DOE,Dyer,1868,118693.00,
2019,DOE,Dyer,711,10100.00,
2019,DOE,Dyer,45,1350.00,
2019,DOE,Dyer,6392,195000.00,
2019,DOE,Dyer,256,24556.00,
2019,DOE,Dyer,6731,1924819.00,
2019,DOE,Dyer,6731,250589.00,
2019,DOE,Dyer,37,4734.00,
2019,DOE,Dyer,6731,136947.00,
2019,DOE,Dyer,6111,122340.00,
2019,DOE,Dyer,1972,89135.00,
2019,DOE,Dyer,769,92666.00,
2019,DOE,Dyer,893,1675624.00,
2019,DOE,Dyer,186,115025.00,
2019,DOE,Dyer,4440,2068460.00,
2019,DOE,Dyer,2265,781013.00,
2019,DOE,Dyer,6288,9655.00,
2019,DOE,Dyer,6331,244120.00,
2019,DOE,Dyer,58,328404.00,
2019,DOE,Dyer,231,298059.00,
2019,DOE,Dyer,240,1258870.00,
2019,DOE,Fayette,487,479298.00,
2019,DOE,Fayette,896,89613.00,
2019,DOE,Fayette,896,19860.00,
2019,DOE,Fayette,3536,85000.00,
2019,DOE,Fayette,5918,1153655.00,
2019,DOE,Fayette,238,318923.00,
2019,DOE,Fayette,5918,185813.00,
2019,DOE,Fayette,57,7293.00,
2019,DOE,Fayette,5918,80488.00,
2019,DOE,Fayette,3110,62258.00,
2019,DOE,Fayette,461,725408.00,
2019,DOE,Fayette,44,33224.00,
2019,DOE,Fayette,1276,35202.00,
2019,DOE,Fayette,2397,1377672.00,
2019,DOE,Fayette,1594,570485.00,
2019,DOE,Fayette,3261,5055.00,
2019,DOE,Fayette,3315,118330.00,
2019,DOE,Fayette,32,181189.00,
2019,DOE,Fayette,155,654723.00,
2019,DOE,Fentress,308,52350.00,
2019,DOE,Fentress,1,30.00,
2019,DOE,Fentress,2565,90000.00,
2019,DOE,Fentress,25,2398.00,
2019,DOE,Fentress,2275,900475.00,
2019,DOE,Fentress,2275,105189.00,
2019,DOE,Fentress,2275,62827.00,
2019,DOE,Fentress,1962,39283.00,
2019,DOE,Fentress,334,31358.00,
2019,DOE,Fentress,326,528584.00,
2019,DOE,Fentress,196,94249.00,
2019,DOE,Fentress,1837,966751.00,
2019,DOE,Fentress,978,334262.00,
2019,DOE,Fentress,2079,3222.00,
2019,DOE,Fentress,2093,87110.00,
2019,DOE,Fentress,39,220824.00,
2019,DOE,Fentress,47,52398.00,
2019,DOE,Fentress,118,597064.00,
2019,DOE,Franklin,617,108300.00,
2019,DOE,Franklin,1606,89093.00,
2019,DOE,Franklin,1606,11055.00,
2019,DOE,Franklin,11,330.00,
2019,DOE,Franklin,5059,125000.00,
2019,DOE,Franklin,6266,1192737.00,
2019,DOE,Franklin,617,108300.00,
2019,DOE,Franklin,6266,183159.00,
2019,DOE,Franklin,92,11771.00,
2019,DOE,Franklin,6266,83214.00,
2019,DOE,Franklin,4573,29612.00,
2019,DOE,Franklin,188,179002.00,
2019,DOE,Franklin,775,1430183.00,
2019,DOE,Franklin,82,48203.00,
2019,DOE,Franklin,3676,1490025.00,
2019,DOE,Franklin,2539,684437.00,
2019,DOE,Franklin,5064,7849.00,
2019,DOE,Franklin,5153,184950.00,
2019,DOE,Franklin,34,192513.00,
2019,DOE,Franklin,201,904639.00,
2019,DOE,Gibson,2638,128849.00,
2019,DOE,Gibson,2486,19553.00,
2019,DOE,Gibson,42,1260.00,
2019,DOE,Gibson,9111,445000.00,
2019,DOE,Gibson,89,8537.00,
2019,DOE,Gibson,8849,1959185.00,
2019,DOE,Gibson,8849,264989.00,
2019,DOE,Gibson,65,8316.00,
2019,DOE,Gibson,8849,138378.00,
2019,DOE,Gibson,3085,61753.00,
2019,DOE,Gibson,435,29612.00,
2019,DOE,Gibson,1010,251799.00,
2019,DOE,Gibson,1187,2427703.00,
2019,DOE,Gibson,272,106101.00,
2019,DOE,Gibson,800,40000.00,
2019,DOE,Gibson,5999,2615267.00,
2019,DOE,Gibson,4664,1332353.00,
2019,DOE,Gibson,8619,13359.00,
2019,DOE,Gibson,8722,372128.00,
2019,DOE,Gibson,94,532242.00,
2019,DOE,Gibson,669,608868.00,
2019,DOE,Gibson,371,1937803.00,
2019,DOE,Giles,259,196414.00,
2019,DOE,Giles,1124,70035.00,
2019,DOE,Giles,1124,2500.00,
2019,DOE,Giles,3559,100000.00,
