County,Pop2019,Pop2021,% ChangePop,Income2019,Income2021,%ChangeIncome,,,,,,,,,,,,,,,
Obion,"30,069","30,466",1.32,40375.00,48493.00,20.11,,,,,,,,,,,,,,,
Overton,"22,241","22,839",2.69,35018.00,40959.00,16.97,,,,,,,,,,,,,,,
Perry,"8,076","8,472",4.90,34491.00,38404.00,11.34,,,,,,,,,,,,,,,
Pickett,"5,048","5,079",0.61,40574.00,45308.00,11.67,,,,,,,,,,,,,,,
Polk,"16,832","17,776",5.61,33761.00,39180.00,16.05,,,,,,,,,,,,,,,
Putnam,"80,245","81,188",1.18,41621.00,47536.00,14.21,,,,,,,,,,,,,,,
Rhea,"33,167","33,136",-0.09,36163.00,42174.00,16.62,,,,,,,,,,,,,,,
Roane,"53,382","53,992",1.14,43488.00,49972.00,14.91,,,,,,,,,,,,,,,
Robertson,"71,813","74,098",3.18,44306.00,51097.00,15.33,,,,,,,,,,,,,,,
Rutherford,"332,285","352,182",5.99,43273.00,49411.00,14.18,,,,,,,,,,,,,,,
Scott,"22,068","21,917",-0.68,31373.00,37333.00,19.00,,,,,,,,,,,,,,,
Sequatchie,"15,026","16,396",9.12,38090.00,43709.00,14.75,,,,,,,,,,,,,,,
Sevier,"98,250","99,517",1.29,43223.00,49012.00,13.39,,,,,,,,,,,,,,,
Shelby,"937,166","924,454",-1.36,51067.00,59212.00,15.95,,,,,,,,,,,,,,,
Smith,"20,157","20,172",0.07,41898.00,48602.00,16.00,,,,,,,,,,,,,,,
Stewart,"13,715","13,855",1.02,42737.00,48205.00,12.79,,,,,,,,,,,,,,,
Sullivan,"158,348","159,265",0.58,44125.00,50418.00,14.26,,,,,,,,,,,,,,,
Sumner,"191,283","200,557",4.85,52015.00,59105.00,13.63,,,,,,,,,,,,,,,
Tipton,"61,599","61,004",-0.97,41866.00,49219.00,17.56,,,,,,,,,,,,,,,
Trousdale,"11,284","12,035",6.66,31874.00,36454.00,14.37,,,,,,,,,,,,,,,
Unicoi,"17,883","17,698",-1.03,37049.00,43044.00,16.18,,,,,,,,,,,,,,,
Union,"19,972","20,040",0.34,34493.00,40349.00,16.98,,,,,,,,,,,,,,,
Van Buren,"5,872","6,324",7.70,31881.00,36669.00,15.02,,,,,,,,,,,,,,,
Warren,"41,277","41,523",0.60,36188.00,41296.00,14.12,,,,,,,,,,,,,,,
Washington,"129,375","134,236",3.76,45144.00,52089.00,15.38,,,,,,,,,,,,,,,
Wayne,"16,673","16,409",-1.58,30283.00,35726.00,17.97,,,,,,,,,,,,,,,
Weakley,"33,328","33,036",-0.88,38337.00,45366.00,18.33,,,,,,,,,,,,,,,
White,"27,345","27,650",1.12,35019.00,40770.00,16.42,,,,,,,,,,,,,,,
Williamson,"238,412","255,735",7.27,95806.00,107698.00,12.41,,,,,,,,,,,,,,,
Wilson,"144,657","151,917",5.02,52573.00,59229.00,12.66,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
